"t","Vehicle","Scenario","Demand"
2022,"Additional LIB","Ambitious-Baseline-Baseline-Baseline-Baseline",486.840919040554
2022,"Additional LIB","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",486.840919040554
2022,"Additional LIB","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",486.840919040554
2022,"Additional LIB","Ambitious-Baseline-Baseline-Baseline-USA Recycling",486.840919040554
2022,"Additional LIB","Ambitious-Baseline-High Capacity-Baseline-Baseline",486.840919040554
2022,"Additional LIB","Ambitious-Baseline-Low Capacity-Baseline-Baseline",486.840919040554
2022,"Additional LIB","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",486.840919040554
2022,"Additional LIB","Ambitious-Double LFP-Baseline-Baseline-Baseline",486.840919040554
2022,"Additional LIB","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",486.840919040554
2022,"Additional LIB","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",486.840919040554
2022,"Additional LIB","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",486.840919040554
2022,"Bus","Ambitious-Baseline-Baseline-Baseline-Baseline",5501.47517133481
2022,"Bus","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",5501.47517133481
2022,"Bus","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",5501.47517133481
2022,"Bus","Ambitious-Baseline-Baseline-Baseline-USA Recycling",5501.47517133481
2022,"Bus","Ambitious-Baseline-High Capacity-Baseline-Baseline",5501.47517133481
2022,"Bus","Ambitious-Baseline-Low Capacity-Baseline-Baseline",5501.47517133481
2022,"Bus","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",5501.47517133481
2022,"Bus","Ambitious-Double LFP-Baseline-Baseline-Baseline",5501.47517133481
2022,"Bus","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",5501.47517133481
2022,"Bus","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",5501.47517133481
2022,"Bus","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",5501.47517133481
2022,"Car","Ambitious-Baseline-Baseline-Baseline-Baseline",55599.6166485292
2022,"Car","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",55599.6166485292
2022,"Car","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",55599.6166485292
2022,"Car","Ambitious-Baseline-Baseline-Baseline-USA Recycling",55599.6166485292
2022,"Car","Ambitious-Baseline-High Capacity-Baseline-Baseline",55599.6166485292
2022,"Car","Ambitious-Baseline-Low Capacity-Baseline-Baseline",55599.6166485292
2022,"Car","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",55599.6166485292
2022,"Car","Ambitious-Double LFP-Baseline-Baseline-Baseline",55599.6166485292
2022,"Car","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",55599.6166485292
2022,"Car","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",55599.6166485292
2022,"Car","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",55599.6166485292
2022,"Heavy truck","Ambitious-Baseline-Baseline-Baseline-Baseline",857.856346156807
2022,"Heavy truck","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",857.856346156807
2022,"Heavy truck","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",857.856346156807
2022,"Heavy truck","Ambitious-Baseline-Baseline-Baseline-USA Recycling",857.856346156807
2022,"Heavy truck","Ambitious-Baseline-High Capacity-Baseline-Baseline",857.856346156807
2022,"Heavy truck","Ambitious-Baseline-Low Capacity-Baseline-Baseline",857.856346156807
2022,"Heavy truck","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",857.856346156807
2022,"Heavy truck","Ambitious-Double LFP-Baseline-Baseline-Baseline",857.856346156807
2022,"Heavy truck","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",857.856346156807
2022,"Heavy truck","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",857.856346156807
2022,"Heavy truck","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",857.856346156807
2022,"Medium truck","Ambitious-Baseline-Baseline-Baseline-Baseline",3648.48083885316
2022,"Medium truck","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",3648.48083885316
2022,"Medium truck","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",3648.48083885316
2022,"Medium truck","Ambitious-Baseline-Baseline-Baseline-USA Recycling",3648.48083885316
2022,"Medium truck","Ambitious-Baseline-High Capacity-Baseline-Baseline",3648.48083885316
2022,"Medium truck","Ambitious-Baseline-Low Capacity-Baseline-Baseline",3648.48083885316
2022,"Medium truck","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",3648.48083885316
2022,"Medium truck","Ambitious-Double LFP-Baseline-Baseline-Baseline",3648.48083885316
2022,"Medium truck","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",3648.48083885316
2022,"Medium truck","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",3648.48083885316
2022,"Medium truck","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",3648.48083885316
2022,"Other Sectors","Ambitious-Baseline-Baseline-Baseline-Baseline",29667.0303260599
2022,"Other Sectors","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",29667.0303260599
2022,"Other Sectors","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",29667.0303260599
